goal_id,goal_id,correlation
1,1,1.000
1,2,0.609
1,3,0.734
1,4,0.670
1,5,0.338
1,6,0.357
1,7,0.661
1,8,0.578
1,9,0.686
1,10,0.424
1,11,0.466
1,12,-0.570
1,13,-0.177
1,14,-0.007
1,15,-0.164
1,16,0.599
1,17,-0.103
2,1,0.609
2,2,1.000
2,3,0.821
2,4,0.776
2,5,0.595
2,6,0.595
2,7,0.745
2,8,0.741
2,9,0.796
2,10,0.391
2,11,0.623
2,12,-0.675
2,13,-0.095
2,14,0.170
2,15,0.042
2,16,0.590
2,17,-0.028
3,1,0.734
3,2,0.821
3,3,1.000
3,4,0.857
3,5,0.612
3,6,0.501
3,7,0.840
3,8,0.784
3,9,0.892
3,10,0.372
3,11,0.711
3,12,-0.789
3,13,-0.179
3,14,0.180
3,15,-0.053
3,16,0.736
3,17,-0.032
4,1,0.670
4,2,0.776
4,3,0.857
4,4,1.000
4,5,0.655
4,6,0.542
4,7,0.773
4,8,0.731
4,9,0.811
4,10,0.341
4,11,0.712
4,12,-0.705
4,13,-0.164
4,14,0.215
4,15,0.030
4,16,0.646
4,17,-0.018
5,1,0.338
5,2,0.595
5,3,0.612
5,4,0.655
5,5,1.000
5,6,0.612
5,7,0.503
5,8,0.626
5,9,0.577
5,10,0.131
5,11,0.714
5,12,-0.485
5,13,-0.083
5,14,0.223
5,15,0.061
5,16,0.313
5,17,0.116
6,1,0.357
6,2,0.595
6,3,0.501
6,4,0.542
6,5,0.612
6,6,1.000
6,7,0.480
6,8,0.494
6,9,0.417
6,10,0.053
6,11,0.629
6,12,-0.416
6,13,0.033
6,14,0.120
6,15,0.031
6,16,0.140
6,17,0.149
7,1,0.661
7,2,0.745
7,3,0.840
7,4,0.773
7,5,0.503
7,6,0.480
7,7,1.000
7,8,0.611
7,9,0.785
7,10,0.291
7,11,0.655
7,12,-0.673
7,13,-0.034
7,14,0.175
7,15,-0.061
7,16,0.572
7,17,0.050
8,1,0.578
8,2,0.741
8,3,0.784
8,4,0.731
8,5,0.626
8,6,0.494
8,7,0.611
8,8,1.000
8,9,0.752
8,10,0.290
8,11,0.620
8,12,-0.653
8,13,-0.164
8,14,0.193
8,15,-0.033
8,16,0.610
8,17,-0.159
9,1,0.686
9,2,0.796
9,3,0.892
9,4,0.811
9,5,0.577
9,6,0.417
9,7,0.785
9,8,0.752
9,9,1.000
9,10,0.332
9,11,0.665
9,12,-0.775
9,13,-0.208
9,14,0.240
9,15,0.002
9,16,0.741
9,17,-0.090
10,1,0.424
10,2,0.391
10,3,0.372
10,4,0.341
10,5,0.131
10,6,0.053
10,7,0.291
10,8,0.290
10,9,0.332
10,10,1.000
10,11,0.125
10,12,-0.243
10,13,-0.070
10,14,-0.011
10,15,0.105
10,16,0.452
10,17,-0.065
11,1,0.466
11,2,0.623
11,3,0.711
11,4,0.712
11,5,0.714
11,6,0.629
11,7,0.655
11,8,0.620
11,9,0.665
11,10,0.25
11,11,1.000
11,12,-0.608
11,13,-0.079
11,14,0.263
11,15,-0.026
11,16,0.450
11,17,0.097
12,1,-0.570
12,2,-0.675
12,3,-0.789
12,4,-0.705
12,5,-0.485
12,6,-0.416
12,7,-0.673
12,8,-0.653
12,9,-0.775
12,10,-0.243
12,11,-0.608
12,12,1.000
12,13,0.324
12,14,-0.196
12,15,0.069
12,16,-0.570
12,17,0.029
13,1,-0.177
13,2,-0.095
13,3,-0.179
13,4,-0.164
13,5,-0.083
13,6,0.033
13,7,-0.034
13,8,-0.164
13,9,-0.208
13,10,-0.070
13,11,-0.079
13,12,0.324
13,13,1.000
13,14,-0.012
13,15,0.179
13,16,-0.240
13,17,-0.018
14,1,-0.007
14,2,0.170
14,3,0.180
14,4,0.215
14,5,0.223
14,6,0.120
14,7,0.175
14,8,0.193
14,9,0.240
14,10,-0.011
14,11,0.263
14,12,-0.196
14,13,-0.012
14,14,1.000
14,15,0.152
14,16,0.110
14,17,0.059
15,1,-0.164
15,2,0.042
15,3,-0.053
15,4,0.030
15,5,0.061
15,6,0.031
15,7,-0.061
15,8,-0.033
15,9,0.002
15,10,0.105
15,11,-0.026
15,12,0.069
15,13,0.179
15,14,0.152
15,15,1.000
15,16,-0.014
15,17,-0.047
16,1,0.599
16,2,0.590
16,3,0.736
16,4,0.646
16,5,0.313
16,6,0.140
16,7,0.572
16,8,0.610
16,9,0.741
16,10,0.452
16,11,0.450
16,12,-0.570
16,13,-0.240
16,14,0.110
16,15,-0.014
16,16,1.000
16,17,-0.101
17,1,-0.103
17,2,-0.028
17,3,-0.032
17,4,-0.018
17,5,0.116
17,6,0.149
17,7,0.050
17,8,-0.159
17,9,-0.090
17,10,-0.065
17,11,0.097
17,12,0.029
17,13,-0.018
17,14,0.059
17,15,-0.047
17,16,-0.101
17,17,1.000
